title,corrected_rate,real_rate
007 노 타임 투 다이,6.334085778781039,6.662561003950732
가을의 전설,8.698850574712644,8.668371696504689
강릉,6.387179487179488,5.210964607911173
경관의 피,7.211206896551724,7.165346534653465
고스트버스터즈 라이즈,7.632258064516129,7.618608549874266
고양이에게 밥을 주지 마세요,7.540462427745664,5.309002433090025
고장난 론,8.962105263157895,8.973890339425587
광대: 소리꾼,9.190274841437633,8.350565428109855
귀문,5.438172043010753,4.127757352941177
그대가 조국,9.895966029723992,6.8563963615250625
그래비티,7.906801007556675,8.3002154656452
그레이 맨,8.493697478991596,8.383982035928144
극장판 주술회전 0,9.447422680412371,9.202479338842975
나의 촛불,5.337423312883436,5.906301824212272
나일 강의 죽음,7.103225806451613,7.466386554621849
날씨의 아이,7.988913525498892,7.789899352983465
너의 이름은.,6.284057971014493,8.8065102290172
니 부모 얼굴이 보고 싶다,7.526881720430108,7.597338935574229
닥터 스트레인지: 대혼돈의 멀티버스,6.836644591611479,7.185180525852308
더 배트맨,7.294642857142857,7.10672
더 수어사이드 스쿼드,7.44988864142539,7.048202614379085
더 킬러: 죽어도 되는 아이,8.61036036036036,7.0580595874713525
덩케르크,7.478589420654912,8.303493076528577
돈 룩 업,8.730603448275861,8.612314356435643
듄,7.8690744920993225,7.870646766169155
드림걸즈,8.937915742793791,8.578014184397164
디어 에반 핸슨,7.163677130044843,7.413346613545817
뜨거운 피,7.095890410958904,7.239359460598399
라스트 듀얼: 최후의 결투,8.947589098532495,8.860869565217392
릴리 슈슈의 모든 것,8.626262626262626,8.104444444444445
마녀(魔女) Part2. The Other One,6.5963302752293576,6.569511829889189
매트릭스: 리저렉션,7.076388888888889,5.422174070061394
명탐정 코난: 할로윈의 신부,9.569672131147541,9.482915717539864
모비우스,7.599109131403118,7.112240184757506
문폴,5.24331550802139,5.042029728344438
미니언즈2,8.218415417558887,7.692584963954686
버즈 라이트이어,6.609523809523809,7.5062240663900415
범죄도시2,9.534591194968554,9.321679438058748
베놈 2: 렛 데어 비 카니지,6.2853828306264505,6.015258735072977
보이스,8.351931330472103,8.401811711420253
브로커,6.1880733944954125,5.399236367975182
샹치와 텐 링즈의 전설,5.199029126213592,6.251721839591202
스텔라,4.891304347826087,5.73352435530086
스파이더맨: 노 웨이 홈,9.416490486257928,8.734222978361423
신비한 동물들과 덤블도어의 비밀,6.249457700650759,6.41890166028097
싱크홀,5.278846153846154,6.281411553158013
씽2게더,9.359342915811089,9.381190019193857
앵커,7.6943231441048034,6.976091476091476
언차티드,7.472527472527473,7.38
엔칸토: 마법의 세계,6.94945054945055,8.214345637583893
연애 빠진 로맨스,8.519480519480519,8.35202376531749
올드,6.876146788990826,6.675828047921071
외계+인 1부,7.570754716981132,7.3886592611728235
웨스트 사이드 스토리,4.597560975609756,6.384245339747444
유체이탈자,7.956236323851203,7.456749311294766
이상한 나라의 수학자,7.472850678733032,8.095625942684766
이터널스,4.452020202020202,5.3345469533557734
인민을 위해 복무하라,7.416267942583732,5.052407932011332
인질,6.0,6.46317255789657
장르만 로맨스,7.54586129753915,6.91390306122449
중경삼림,9.405829596412556,8.903907074973601
쥬라기 월드: 도미니언,6.962472406181015,6.1075359864521594
킹메이커,5.3825665859564165,7.184830633284242
킹스맨: 퍼스트 에이전트,7.58494623655914,7.788666976312123
타짜: 원 아이드 잭,3.918918918918919,5.3612109593418005
탑건: 매버릭,9.899357601713062,9.763260633457598
토르: 러브 앤 썬더,5.13681592039801,6.493740515933232
특송,5.861985472154964,7.5843520782396086
파이란,9.714285714285714,9.097873500545257
프리가이,9.204918032786885,8.904003267973856
하우스 오브 구찌,7.815899581589958,7.883968113374668
한산: 용의 출현,9.363825363825363,8.687784729393185
해리 포터와 마법사의 돌,9.792372881355933,9.341463414634147
해리포터와 불사조 기사단,8.645021645021645,7.024326553051127
해적: 도깨비 깃발,5.508313539192399,5.460894585404133
해피 뉴 이어,6.182033096926714,6.94202154951257
헤어질 결심,9.50103519668737,8.60287316737184
호빗 : 뜻밖의 여정,9.34475374732334,8.459199248561701
호빗 : 스마우그의 폐허,9.477223427331888,8.561424332344213
호빗: 다섯 군대 전투,9.243534482758621,8.540071237756012
